id,name,email,password,role
S85399,Nikola Ramanujan,nikola.ramanujan@student.edu,pass_S85399,student
S12225,Robert Parks,robert.parks@student.edu,pass_S12225,student
S79092,Wolfgang Luther,wolfgang.luther@student.edu,pass_S79092,student
S54797,Elizabeth Kahlo,elizabeth.kahlo@student.edu,pass_S54797,student
S35992,Werner Kepler,werner.kepler@student.edu,pass_S35992,student
S79583,Sylvia Musk,sylvia.musk@student.edu,pass_S79583,student
S53724,Leonardo Carson,leonardo.carson@student.edu,pass_S53724,student
S51260,Stephen Darwin,stephen.darwin@student.edu,pass_S51260,student
S42813,Stephen Tesla,stephen.tesla@student.edu,pass_S42813,student
S99052,Hedy Einstein,hedy.einstein@student.edu,pass_S99052,student
S80121,Frida Lovelace,frida.lovelace@student.edu,pass_S80121,student
S71200,Nelson Lovelace,nelson.lovelace@student.edu,pass_S71200,student
S70812,Charles Parks,charles.parks@student.edu,pass_S70812,student
S86939,Marie Hawking,marie.hawking@student.edu,pass_S86939,student
S74602,Marie Graham,marie.graham@student.edu,pass_S74602,student
S24687,Rosa Noether,rosa.noether@student.edu,pass_S24687,student
S94597,Wolfgang Angelou,wolfgang.angelou@student.edu,pass_S94597,student
S31251,Maya Roosevelt,maya.roosevelt@student.edu,pass_S31251,student
S74272,Malala Watson,malala.watson@student.edu,pass_S74272,student
S43542,Frida Angelou,frida.angelou@student.edu,pass_S43542,student
S64729,Ruth Turing,ruth.turing@student.edu,pass_S64729,student
S28331,Enrico Morrison,enrico.morrison@student.edu,pass_S28331,student
S65157,Louis Shelley,louis.shelley@student.edu,pass_S65157,student
S98333,Cleopatra Gandhi,cleopatra.gandhi@student.edu,pass_S98333,student
S89286,Alexander Angelou,alexander.angelou@student.edu,pass_S89286,student
S68000,Max Gates,max.gates@student.edu,pass_S68000,student
S83349,Alan Kepler,alan.kepler@student.edu,pass_S83349,student
S46708,Jane Blackwell,jane.blackwell@student.edu,pass_S46708,student
S87733,Dorothy Kahlo,dorothy.kahlo@student.edu,pass_S87733,student
S88552,Mary Jobs,mary.jobs@student.edu,pass_S88552,student
S15341,Leonardo Sagan,leonardo.sagan@student.edu,pass_S15341,student
S19911,Oprah Hodgkin,oprah.hodgkin@student.edu,pass_S19911,student
S57141,Carl Tesla,carl.tesla@student.edu,pass_S57141,student
S82214,Wolfgang Antoinette,wolfgang.antoinette@student.edu,pass_S82214,student
S16447,Alan Winfrey,alan.winfrey@student.edu,pass_S16447,student
S13576,Leonardo Oppenheimer,leonardo.oppenheimer@student.edu,pass_S13576,student
S65184,Mary Earhart,mary.earhart@student.edu,pass_S65184,student
S32974,Isaac Bohr,isaac.bohr@student.edu,pass_S32974,student
S36950,Oprah Mandela,oprah.mandela@student.edu,pass_S36950,student
S16917,Alan Hemingway,alan.hemingway@student.edu,pass_S16917,student
S63015,Nikola Musk,nikola.musk@student.edu,pass_S63015,student
S20301,Emmy Plath,emmy.plath@student.edu,pass_S20301,student
S67066,Winston Armstrong,winston.armstrong@student.edu,pass_S67066,student
S87645,Emmy Darwin,emmy.darwin@student.edu,pass_S87645,student
S12754,Hedy Winfrey,hedy.winfrey@student.edu,pass_S12754,student
S46108,Marie Einstein,marie.einstein@student.edu,pass_S46108,student
S56698,Frida Ramanujan,frida.ramanujan@student.edu,pass_S56698,student
S54909,Winston Woolf,winston.woolf@student.edu,pass_S54909,student
S92568,Amelia Hurston,amelia.hurston@student.edu,pass_S92568,student
S48159,Marie Johnson,marie.johnson@student.edu,pass_S48159,student
S91719,Mahatma Edison,mahatma.edison@student.edu,pass_S91719,student
S37038,Galileo Lovelace,galileo.lovelace@student.edu,pass_S37038,student
S19446,Ernest Churchill,ernest.churchill@student.edu,pass_S19446,student
S71525,Sylvia Newton,sylvia.newton@student.edu,pass_S71525,student
S95773,Werner Jobs,werner.jobs@student.edu,pass_S95773,student
S26164,Louis Heisenberg,louis.heisenberg@student.edu,pass_S26164,student
S40150,Amelia Mozart,amelia.mozart@student.edu,pass_S40150,student
S21787,Wolfgang Franklin,wolfgang.franklin@student.edu,pass_S21787,student
S41601,Ruth da Vinci,ruth.da.vinci@student.edu,pass_S41601,student
S98635,Srinivasa Churchill,srinivasa.churchill@student.edu,pass_S98635,student
S28258,Elon Edison,elon.edison@student.edu,pass_S28258,student
S68635,Eleanor Tesla,eleanor.tesla@student.edu,pass_S68635,student
S79185,Alan Blackwell,alan.blackwell@student.edu,pass_S79185,student
S73666,Srinivasa Hurston,srinivasa.hurston@student.edu,pass_S73666,student
S78048,Enrico Hodgkin,enrico.hodgkin@student.edu,pass_S78048,student
S77806,Wolfgang Nightingale,wolfgang.nightingale@student.edu,pass_S77806,student
S34114,Rachel Lamarr,rachel.lamarr@student.edu,pass_S34114,student
S44710,Marie Feynman,marie.feynman@student.edu,pass_S44710,student
S26010,Margaret Feynman,margaret.feynman@student.edu,pass_S26010,student
S13383,Elizabeth Musk,elizabeth.musk@student.edu,pass_S13383,student
S25717,Maya Roosevelt,maya.roosevelt@student.edu,pass_S25717,student
S62365,Galileo Shelley,galileo.shelley@student.edu,pass_S62365,student
S67619,Stephen Lamarr,stephen.lamarr@student.edu,pass_S67619,student
S64651,Frida Winfrey,frida.winfrey@student.edu,pass_S64651,student
S21785,Malala Plath,malala.plath@student.edu,pass_S21785,student
S46311,Winston Watson,winston.watson@student.edu,pass_S46311,student
S15700,Nikola Austen,nikola.austen@student.edu,pass_S15700,student
S21561,Alan Johnson,alan.johnson@student.edu,pass_S21561,student
S79079,Steve Jobs,steve.jobs@student.edu,pass_S79079,student
S58440,Ada Ptolemy,ada.ptolemy@student.edu,pass_S58440,student
S83193,Charles Kahlo,charles.kahlo@student.edu,pass_S83193,student
S52563,Werner Hopper,werner.hopper@student.edu,pass_S52563,student
S25951,Martin Hurston,martin.hurston@student.edu,pass_S25951,student
S33837,Thomas Heisenberg,thomas.heisenberg@student.edu,pass_S33837,student
S52766,Margaret Roosevelt,margaret.roosevelt@student.edu,pass_S52766,student
S35977,Srinivasa Mead,srinivasa.mead@student.edu,pass_S35977,student
S89632,Nikola Ginsburg,nikola.ginsburg@student.edu,pass_S89632,student
S86090,Maya Armstrong,maya.armstrong@student.edu,pass_S86090,student
S53708,Enrico Watson,enrico.watson@student.edu,pass_S53708,student
S74647,Elizabeth Kepler,elizabeth.kepler@student.edu,pass_S74647,student
S61920,Frida Newton,frida.newton@student.edu,pass_S61920,student
S59380,Zora Gates,zora.gates@student.edu,pass_S59380,student
S38320,Johannes Gandhi,johannes.gandhi@student.edu,pass_S38320,student
