Username,Email,Password,ID,Courses
Michael Lopez,michael.lopez@university.edu,password,users/417912,"COMP5003,COMP5004,COMP5000"
Deborah Brooks MD,deborah.brooks.md@university.edu,password,users/417914,"COMP5003,COMP5001,COMP5004"
Isaac Montgomery,isaac.montgomery@university.edu,password,users/417916,"COMP5003,COMP5001"
Dustin Nguyen,dustin.nguyen@university.edu,password,users/417918,"COMP5004,COMP5001"
Michael Logan,michael.logan@university.edu,password,users/417920,"COMP5004,COMP5000,COMP5003"
Rachel Morales,rachel.morales@university.edu,password,users/417922,"COMP5002,COMP5001"
Sara Taylor DDS,sara.taylor.dds@university.edu,password,users/417924,COMP5001
Todd Bell,todd.bell@university.edu,password,users/417926,"COMP5001,COMP5000"
Heather Garcia,heather.garcia@university.edu,password,users/417928,COMP5000
Tiffany Rodriguez,tiffany.rodriguez@university.edu,password,users/417930,"COMP5002,COMP5004"
