Username,Email,Password,ID
Charles Lopez,charles.lopez@university.edu,password,users/413878
Russell Medina,russell.medina@university.edu,password,users/413880
Nicholas Miller,nicholas.miller@university.edu,password,users/413882
Deborah James,deborah.james@university.edu,password,users/414098
Rachel Jarvis,rachel.jarvis@university.edu,password,users/414100
Sheryl Johnson,sheryl.johnson@university.edu,password,users/414102
Christina Brown,christina.brown@university.edu,password,users/414222
April Lopez,april.lopez@university.edu,password,users/414224
Oscar Stewart MD,oscar.stewart.md@university.edu,password,users/414226
Christina Preston,christina.preston@university.edu,password,users/414563
Terrance Shelton,terrance.shelton@university.edu,password,users/414565
Erica Montgomery,erica.montgomery@university.edu,password,users/414567
