username,email,role,password,user_id
Albert Roosevelt,albert.roosevelt@faculty.edu,instructor,pass_I588,users/424192
Amelia Woolf,amelia.woolf@faculty.edu,instructor,pass_I830,users/424165
Carl Planck,carl.planck@faculty.edu,instructor,pass_I764,users/424228
Georgia Ramanujan,georgia.ramanujan@faculty.edu,instructor,pass_I967,users/424246
Louis Ramanujan,louis.ramanujan@faculty.edu,instructor,pass_I898,users/424264
Malala Angelou,malala.angelou@faculty.edu,instructor,pass_I302,users/424237
Mary Yousafzai,mary.yousafzai@faculty.edu,instructor,pass_I484,users/424201
Max Ginsburg,max.ginsburg@faculty.edu,instructor,pass_I278,users/424174
Niels Plath,niels.plath@faculty.edu,instructor,pass_I782,users/424210
Steve Hemingway,steve.hemingway@faculty.edu,instructor,pass_I926,users/424183
Sylvia Kahlo,sylvia.kahlo@faculty.edu,instructor,pass_I737,users/424255
Werner Edison,werner.edison@faculty.edu,instructor,pass_I151,users/424219
Ada Carson,ada.carson@student.edu,student,pass_S47460,users/424156
Ada Fermi,ada.fermi@student.edu,student,pass_S57273,users/423559
Ada Mead,ada.mead@student.edu,student,pass_S41346,users/423631
Ada Parks,ada.parks@student.edu,student,pass_S12434,users/423461
Ada Ptolemy,ada.ptolemy@student.edu,student,pass_S58440,users/423268
Alan Blackwell,alan.blackwell@student.edu,student,pass_S79185,users/423120
Alan Hemingway,alan.hemingway@student.edu,student,pass_S16917,users/422909
Alan Johnson,alan.johnson@student.edu,student,pass_S21561,users/423250
Alan Kepler,alan.kepler@student.edu,student,pass_S83349,users/422792
Alan Winfrey,alan.winfrey@student.edu,student,pass_S16447,users/422864
Albert McClintock,albert.mcclintock@student.edu,student,pass_S12806,users/424044
Alexander Angelou,alexander.angelou@student.edu,student,pass_S89286,users/422774
Alexander Kepler,alexander.kepler@student.edu,student,pass_S48393,users/423842
Alexander Plath,alexander.plath@student.edu,student,pass_S10534,users/423488
Amelia Armstrong,amelia.armstrong@student.edu,student,pass_S21762,users/423829
Amelia Hurston,amelia.hurston@student.edu,student,pass_S92568,users/422994
Amelia Morrison,amelia.morrison@student.edu,student,pass_S36119,users/424057
Amelia Mozart,amelia.mozart@student.edu,student,pass_S40150,users/423066
Amelia Pasteur,amelia.pasteur@student.edu,student,pass_S25846,users/423954
Amelia Yousafzai,amelia.yousafzai@student.edu,student,pass_S69215,users/424035
Bill Feynman,bill.feynman@student.edu,student,pass_S90038,users/423649
Bill Hawking,bill.hawking@student.edu,student,pass_S91549,users/424093
Bill Kahlo,bill.kahlo@student.edu,student,pass_S94429,users/424138
Carl Tesla,carl.tesla@student.edu,student,pass_S57141,users/422846
Charles da Vinci,charles.da.vinci@student.edu,student,pass_S88495,users/423757
Charles Jobs,charles.jobs@student.edu,student,pass_S35090,users/423703
